A-E
Abie 阿碧
Adriana 阿德里亚娜
Alanis 阿拉尼斯
Alexandra 亚历山德拉
Alice 爱丽丝
Alicia 艾莉西亚
Alison 阿莉森
Alyssa 艾莉莎
Amanda 阿曼达
Amelia 阿梅丽娅
Amy 艾美
Anastasia 阿娜丝塔西亚
Andrea 安德丽娅
Angelina 安吉丽娜
Angie 安吉
Ann 安
Anna 安娜
Anne 安
Annette 安妮特
Annie 安妮
April 艾普尔
Ariana 艾丽安娜
Ashley 艾什莉
Audrey 奥黛丽
Barbara 笆笆拉
Becky 贝基
Betsy 贝琪
Betty 贝蒂
Beyonce 碧昂斯
Bianca 碧昂卡
Brenda 布兰达
Bridget 布里吉特
Brittany 布里塔尼
Brooke 布鲁克
Caitlin 凯特琳
Cameron 卡梅隆
Candace 坎迪斯
Carmen 卡门
Carol 卡罗尔
Carrie 凯莉
Cassandra 卡桑德拉
Catherine 凯瑟琳
Cathy 凯西
Cecile 赛茜儿
Celeste 西莱斯特
Charlotte 夏绿蒂
Chelsea 切尔西
Cheryl 谢丽尔
Christina 克里斯蒂娜
Christine 克莉斯婷
Christy 克里斯蒂
Cindy 辛迪
Claire 克莱尔
Clara 克莱拉
Claudia 克劳迪娅
Constance 康斯坦斯
Courtney 考特尼
Cynthia 辛西娅
Daisy 戴西
Dalila 达利拉
Dana 丹娜
Daniela 丹涅拉
Danielle 丹妮尔
Daphne 达芙妮
Deborah 黛博拉
Denise 丹妮丝
Destiny 黛丝蒂妮
Diana 黛安娜
Diane 黛安
Dina 迪娜
Donna 唐娜
Doreen 多琳
Dorian 多里安
Edna 艾德娜
Eileen 艾琳
Elena 伊莲娜
Elisa 爱丽莎
Elisabeth 伊丽莎白
Elise 爱丽丝
Elizabeth 伊丽莎白
Ella 艾拉
Elle 艾莉
Ellen 艾伦
Eloise 艾萝依
Elora 伊劳拉
Elsa 艾尔莎
Elyse 艾丽丝
Emily 艾米莉
Emma 艾玛
Erica 艾丽卡
Erika 艾丽卡
Eve 伊夫
Eveline 艾维琳
Evelyn 艾芙琳
F-J
Felicia 菲莉西亚
Justine 贾斯汀
Julie 朱丽
Julia 朱丽娅
Judy 朱蒂
Judith 朱迪思
Joyce 乔艾斯
Joy 乔伊
Johanna 约翰娜
Jodie 朱迪
Joanne 乔安
Joanna 乔安娜
Joan 琼
Jinny 吉妮
Jessica 杰西卡
Jenny 珍妮
Jennifer 珍尼弗
Jenna 珍娜
Jeannine 杰宁
Jeanine 杰宁
Jeanette 珍妮特
Janice 詹妮丝
Jane 简
Jamie 杰米
Jade 贾德
Jacquie 贾奇
Jacklyn 杰奎琳
Jackie 杰姬
Isabella 伊萨贝拉
Isabell 伊萨贝
Irma 伊尔玛
Irina 伊莉娜
Irene 伊琳娜
Ingrid 英格丽
Ilona 伊罗娜
Ilana 依拉娜
Iana 娅娜
Holly 荷莉
Helen 海伦
Heidy 海蒂
Heidi 海蒂
Heather 希瑟
Hayley 海莉
Hannah 汉娜
Gwendolyn 沽雯都琳
Grace 格蕾丝
Gisele 吉赛尔
Ginger 金蔗尔
Gina 吉娜
Georgina 乔姬娜
Georgia 乔治亚
Frankie 弗兰克
Fiona 菲奥娜
Filipa 菲莉帕
K-O
Kaitlin 凯特琳
Kara 卡拉
Karen 凯琳
Karianne 卡丽安
Karina 卡莉娜
Kassandra 卡桑德拉
Katalina 卡塔丽娜
Kate 凯特
Katherine 凯瑟琳
Kathleen 凯瑟琳
Katie 凯蒂
Katrina 凯特琳娜
Katy 凯蒂
Kayla 凯拉
Keira 凯拉
Kelly 凯莉
Kelsey 凯尔塞
Kerry-Anne 凯莉安
Kimberley 金伯利
Kira 琦拉
Kristie 克莉斯蒂
Kristina 克里斯蒂娜
Kristine 克莉斯汀
Kristy 克里斯蒂
Laura 劳拉
Laurene 劳伦
Laurie 萝莉
Layla 蕾拉
Lena 莉娜
Leona 莉安娜
Leslie 莱丝莉
Libby 莉碧
Lila 莉拉
Liliane 莉莉安
Lilly 莉莉
Lily-Rose 莉莉罗斯
Lina 莉娜
Linda 琳达
Lindsay 林赛
Lisa 丽莎
Lise 丽丝
Lola 罗拉
Lorene 劳伦
Lorette 罗瑞德
Lorianne 劳丽安
Louise 路易丝
Loyce 罗伊丝
Lucia 露茜娅
Lucy 露西
Luna 璐娜
Lydia 莉蒂娅
Lyla 莉拉
Lynda 琳达
Lynette 丽奈特
Lynn 琳
Lynne 琳
Lysa 丽莎
Madeleine 玛德琳

Madeline 玛德琳
Madison 麦迪逊
Magdalena 玛格达雷娜
Maggy 玛吉
Malorie 玛罗丽
Mandy 曼蒂
Mani 玛妮
Margaret 玛格丽特
Margareth 玛格蕾斯
Maria 玛丽亚
Marianna 玛丽安娜
Marina 玛丽娜
Marisa 玛丽莎
Marlene 玛琳
Martha 玛莎
Mary 玛丽
Mary-Lou 玛丽·璐
Maryanne 玛丽安
Marylise 玛丽丽丝
Maryse 马瑞赛
Mathis 玛希斯
Maud 茉德
Maureen 穆琳
Maxine 玛可欣
May 梅
Maya 玛雅
Mayleen 梅琳
Maylene 梅莲
Meg 梅格
Melany 梅兰妮
Melba 梅尔巴
Melinda 美莲达
Melody 梅洛迪
Meryl 梅丽尔
Mia 米娅
Michaela 米凯拉
Michelle 米歇尔
Milena 米蕾娜
Mina 米娜
Minna 米娜
Molly 茉莉
Mona 蒙娜
Monica 莫妮卡
Mony 莫尼
Moreen 莫琳
Morissette 莫里赛特
Muriel 穆丽尔
Myriam 米里安
Nadia 娜迪娅
Nadina 纳迪娜
Nadine 娜丁
Nancy 南茜
Naomi 纳奥米
Natalie 娜塔莉
Natasha 娜塔莎
Nicole 尼科尔
Nikita 尼琦塔
